,total_points,bps,influence,goals_scored,ict_index,bonus,threat,minutes,creativity,assists,value,clean_sheets,selected
60740,1,4,0.0,0,0.1,0,1.0,1,0.0,0,54,0,47007
60741,0,0,0.0,0,0.0,0,0.0,0,0.0,0,44,0,3886
60742,3,11,7.8,0,3.7,0,4.0,86,24.8,0,61,1,87325
60743,0,0,0.0,0,0.0,0,0.0,0,0.0,0,55,0,66697
60744,11,37,24.0,0,4.6,3,21.0,90,1.1,1,58,1,100310
60745,1,3,0.2,0,0.6,0,2.0,20,4.2,0,49,0,5278
60746,1,2,0.0,0,0.1,0,2.0,6,0.0,0,45,0,31831
60747,6,24,21.4,0,5.2,0,4.0,87,26.9,0,59,1,77619
60748,1,9,19.8,0,2.9,0,7.0,90,1.9,0,45,0,15281
60749,1,0,2.0,0,4.3,0,39.0,54,2.3,0,60,0,81762
60750,-1,6,12.4,0,6.4,0,40.0,90,11.3,0,45,0,60432
60751,5,20,8.0,0,0.8,0,0.0,90,0.2,0,45,1,31131
60752,0,0,0.0,0,0.0,0,0.0,0,0.0,0,49,0,4067
60753,0,0,0.0,0,0.0,0,0.0,0,0.0,0,44,0,9955
60754,2,16,21.2,0,2.1,0,0.0,90,0.0,0,44,0,81715
60755,1,4,4.2,0,0.5,0,0.0,35,0.9,0,45,0,101736
60756,0,0,0.0,0,0.0,0,0.0,0,0.0,0,50,0,439
60757,3,18,15.6,0,7.5,0,12.0,84,47.8,0,49,1,4960
60758,0,0,0.0,0,0.0,0,0.0,0,0.0,0,44,0,19288
60759,5,25,18.8,0,2.0,0,0.0,90,1.1,0,59,1,156360
60760,2,10,8.6,0,3.5,0,26.0,90,0.2,0,49,0,74012
60761,1,3,5.6,0,2.8,0,21.0,27,1.8,0,57,0,15127
60762,15,38,48.0,1,6.9,3,19.0,90,1.6,0,46,1,346065
60763,0,0,0.0,0,0.0,0,0.0,0,0.0,0,44,0,1054
60764,1,5,15.2,0,2.0,0,0.0,90,5.2,0,48,0,26572
60765,1,7,7.0,0,0.8,0,0.0,90,0.7,0,45,0,238562
60766,1,2,0.0,0,0.0,0,0.0,1,0.2,0,59,0,3852
60767,0,0,0.0,0,0.0,0,0.0,0,0.0,0,45,0,8952
60768,0,0,0.0,0,0.0,0,0.0,0,0.0,0,45,0,11212
60769,0,0,0.0,0,0.0,0,0.0,0,0.0,0,39,0,356749
60770,1,7,8.2,0,2.8,0,17.0,70,2.8,0,53,0,8826
60771,0,0,0.0,0,0.0,0,0.0,0,0.0,0,49,0,6515
60772,0,0,0.0,0,0.0,0,0.0,0,0.0,0,43,0,3712
60773,1,2,0.0,0,0.0,0,0.0,23,0.1,0,53,0,31525
60774,2,6,6.2,0,9.8,0,66.0,90,25.8,0,61,0,317752
60775,2,19,23.0,0,3.7,0,2.0,90,11.5,0,50,0,97676
60776,0,0,0.0,0,0.0,0,0.0,0,0.0,0,50,0,13340
60777,2,10,6.8,0,1.2,0,0.0,90,5.0,0,45,0,64617
60778,6,30,31.8,0,4.9,0,17.0,90,0.0,0,50,1,244338
60779,0,0,0.0,0,0.0,0,0.0,0,0.0,0,43,0,8084
60780,7,19,34.4,1,6.1,0,23.0,90,4.0,0,67,0,1222214
60781,0,0,0.0,0,0.0,0,0.0,0,0.0,0,53,0,46359
60782,0,0,0.0,0,0.0,0,0.0,0,0.0,0,58,0,36380
60783,0,0,0.0,0,0.0,0,0.0,0,0.0,0,43,0,5103
60784,3,13,15.2,0,2.8,0,1.0,90,11.7,0,52,1,1241732
60785,6,19,21.6,0,5.6,0,0.0,65,34.0,1,60,1,1226339
60786,7,24,11.8,0,1.2,1,0.0,90,0.1,0,41,1,657538
60787,9,27,22.6,0,2.3,2,0.0,90,0.0,0,45,1,450944
60788,1,2,1.0,0,0.1,0,0.0,6,0.0,0,43,0,7053
60789,0,0,0.0,0,0.0,0,0.0,0,0.0,0,54,0,986
60790,7,23,46.6,1,8.3,0,19.0,85,17.2,0,51,0,274407
60791,0,0,0.0,0,0.0,0,0.0,0,0.0,0,49,0,12103
60792,5,11,20.6,0,6.5,0,20.0,75,24.3,1,56,1,388568
60793,0,0,0.0,0,0.0,0,0.0,0,0.0,0,43,0,33129
60794,0,0,0.0,0,0.0,0,0.0,0,0.0,0,43,0,7272
60795,0,0,0.0,0,0.0,0,0.0,0,0.0,0,45,0,5706
60796,0,0,0.0,0,0.0,0,0.0,0,0.0,0,44,0,10097
60797,1,10,11.8,0,4.0,0,20.0,90,8.1,0,55,0,281692
60798,2,9,12.2,0,7.1,0,42.0,90,16.7,0,66,0,457375
60799,0,0,0.0,0,0.0,0,0.0,0,0.0,0,45,0,0
60800,0,0,0.0,0,0.0,0,0.0,0,0.0,0,50,0,589
60801,0,0,0.0,0,0.0,0,0.0,0,0.0,0,43,0,7713
60802,2,18,21.4,0,5.5,0,15.0,90,18.3,0,62,0,196455
60803,3,13,10.6,0,11.1,0,64.0,90,36.2,0,74,1,1305055
60804,1,4,1.6,0,0.2,0,0.0,17,0.4,0,55,0,10831
60805,6,21,23.2,0,2.4,0,0.0,90,0.8,0,46,1,279984
