Season,name,position,team,total_points,bps,influence,goals_scored,ict_index,bonus,threat,minutes,creativity,assists,value,clean_sheets,selected
2021-22,Frederico Rodrigues de Paula Santos,MID,Man Utd,2,18,20.0,0,3.4,0,11.0,90,2.8,0,49,0,35282
2021-22,Scott McTominay,MID,Man Utd,1,5,20.8,0,2.2,0,0.0,90,1.6,0,54,0,22082
2021-22,Ruben Loftus-Cheek,MID,Chelsea,2,10,4.8,0,2.5,0,16.0,90,3.8,0,54,0,14306
2021-22,Jadon Sancho,MID,Man Utd,9,25,36.2,1,6.7,1,17.0,63,13.3,0,89,1,156577
2021-22,Bruno Miguel Borges Fernandes,MID,Man Utd,1,2,4.0,0,1.0,0,1.0,88,4.6,0,116,0,1484449
2021-22,Jorge Luiz Frello Filho,MID,Chelsea,8,26,41.4,1,7.6,2,19.0,90,15.2,0,58,0,377099
2021-22,Jesse Lingard,MID,Man Utd,1,1,0.0,0,0.0,0,0.0,13,0.0,0,68,0,91083
2021-22,Callum Hudson-Odoi,MID,Chelsea,2,8,22.6,0,11.4,0,40.0,77,51.8,0,53,0,74382
2021-22,Ashley Fletcher,FWD,Watford,1,2,4.0,0,0.8,0,3.0,19,0.5,0,49,0,20770
2021-22,Gabriel Fernando de Jesus,FWD,Man City,2,4,8.0,0,10.1,0,67.0,90,25.9,0,87,0,840436
2021-22,Tom Cleverley,MID,Watford,1,10,14.8,0,7.4,0,2.0,45,57.0,0,48,0,9713
2021-22,Sergi Canós,MID,Brentford,2,2,3.4,0,0.8,0,4.0,86,1.0,0,55,1,183325
2021-22,Shandon Baptiste,MID,Brentford,1,7,4.6,0,1.5,0,0.0,20,10.4,0,49,0,1988
2021-22,Frank Onyeka,MID,Brentford,5,13,4.4,0,1.0,0,4.0,90,2.0,1,49,1,7230
2021-22,Riyad Mahrez,MID,Man City,5,19,10.6,0,8.4,0,29.0,90,44.8,1,86,0,206214
2021-22,Kiernan Dewsbury-Hall,MID,Leicester,1,4,0.0,0,0.0,0,0.0,2,0.0,0,45,0,3490
2021-22,Anthony Gordon,MID,Everton,2,7,1.8,0,4.4,0,36.0,90,5.7,0,45,0,8106
2021-22,Allan Marques Loureiro,MID,Everton,2,11,22.2,0,3.9,0,2.0,90,14.3,0,45,0,488324
2021-22,Vitaly Janelt,MID,Brentford,3,8,18.0,0,3.2,0,2.0,90,11.6,0,50,1,12709
2021-22,Andros Townsend,MID,Everton,1,9,5.6,0,5.4,0,2.0,69,46.4,0,56,0,848110
2021-22,Pablo Fornals,MID,West Ham,2,16,13.0,0,2.6,0,0.0,90,13.4,0,60,0,187089
2021-22,Jamie Vardy,FWD,Leicester,12,51,74.4,2,15.0,2,74.0,90,1.6,0,106,0,2222380
2021-22,Marc Albrighton,MID,Leicester,1,4,5.0,0,0.6,0,0.0,15,0.5,0,52,0,10696
2021-22,Salomón Rondón,FWD,Everton,1,0,8.6,0,10.2,0,82.0,90,11.3,0,60,0,14228
2021-22,Ademola Lookman,MID,Leicester,7,28,37.6,1,9.9,0,45.0,74,16.3,0,60,0,5870
2021-22,Abdoulaye Doucouré,MID,Everton,2,9,1.4,0,3.3,0,26.0,90,5.1,0,54,0,139030
2021-22,Bryan Mbeumo,MID,Brentford,2,3,10.2,0,3.3,0,21.0,90,1.9,0,56,1,340443
2021-22,Rodrigo Hernandez,MID,Man City,2,15,16.0,0,2.1,0,0.0,90,4.8,0,55,0,89375
2021-22,Fernando Luiz Rosa,MID,Man City,8,23,33.0,1,5.0,2,17.0,3,0.0,0,48,0,29080
2021-22,Boubakary Soumaré,MID,Leicester,2,12,19.0,0,3.2,0,0.0,90,12.9,0,48,0,11222
2021-22,Emmanuel Dennis,FWD,Watford,10,37,42.6,1,12.5,1,60.0,70,22.3,1,53,0,932344
2021-22,Christian Nørgaard,MID,Brentford,3,20,22.8,0,2.3,0,0.0,69,0.4,0,50,1,82063
2021-22,Joshua King,FWD,Watford,6,19,33.8,1,9.6,0,60.0,90,2.3,0,56,0,387704
2021-22,Declan Rice,MID,West Ham,2,20,18.0,0,3.4,0,13.0,90,3.1,0,50,0,503568
2021-22,Ilkay Gündogan,MID,Man City,13,39,70.8,1,19.4,3,70.0,90,53.3,1,72,0,251300
2021-22,Saïd Benrahma,MID,West Ham,1,5,4.4,0,2.3,0,17.0,58,1.1,0,63,0,2261773
2021-22,Demarai Gray,MID,Everton,1,4,6.4,0,2.5,0,11.0,20,7.3,0,56,0,917733
2021-22,Moussa Sissoko,MID,Watford,2,9,4.2,0,2.6,0,8.0,90,13.4,0,45,0,217080
2021-22,Manuel Lanzini,MID,West Ham,7,21,38.0,1,4.9,1,9.0,31,2.3,0,58,0,10268
2021-22,Yoane Wissa,MID,Brentford,1,6,6.0,0,1.9,0,13.0,3,0.0,0,59,0,4153
2021-22,Raheem Sterling,MID,Man City,3,12,0.0,0,3.8,0,12.0,86,26.3,0,106,1,109195
2021-22,Alex Iwobi,MID,Everton,2,10,13.0,0,5.9,0,38.0,90,7.5,0,58,0,15414
2021-22,Ozan Tufan,MID,Watford,1,-3,0.0,0,0.4,0,4.0,45,1.1,0,50,0,1338
